continent,cont_image,cont_name,center,pop,area,money,lang,religion
아시아,l_flag_Gruziya.gif,그루지야,트빌리시,496만명,"69,700km",라리,그루지야어,그루지아정교
아시아,l_flag_nepal.gif,네팔,카트만두,"2,369만명","147,181km",네팔 루피,네팔어,힌두교
아시아,l_flag_korea.gif,대한민국,서울,"4,790만명","99,461km",원,한국어,"불교, 그리스도교"
아시아,l_flag_East_Timor.gif,동티모르,딜리,83만명,"14,874km",달러,포르투갈어,그리스도교(카톨릭)
아시아,l_flag_Laos.gif,라오스,비엔티안,577만명,"236,800km",깁,라오어,불교
아시아,l_flag_Lebanon.gif,레바논,베이루트,367만명,"10,400km",레바논 파운드,아랍어,"이슬람교, 그리스도교"
아시아,l_flag_malaysia.gif,말레이시아,콸라룸푸르,"2,437만명","329,845km",링깃,말레이어,이슬람교
아시아,l_flag_Maldives.gif,몰디브,말레,28만명,298km,루피아,디베히어,이슬람교
아시아,l_flag_Mongolia.gif,몽골,울란바토르,245만명,"1,564,160km",투그릭,몽골어,티벳불교
아시아,l_flag_myanmar.gif,미얀마(버마),양곤,"4,223만명","676,577km",걋트,미얀마어,불교
아시아,l_flag_Bahrain.gif,바레인,마나마,67만명,707km,바레인 디나르,아랍어,이슬람교
아시아,l_flag_bangladesh.gif,방글라데시,다카,"13,337만명","147,570km",타카,벵골어,이슬람교
아시아,l_flag_viet_nam.gif,베트남,하노이,"7,993만명","331,041km",동,베트남어,불교
아시아,l_flag_Bhutan.gif,부탄,팀부,72만명,"46,500km",눌트룸,종카어,라마교
아시아,l_flag_Brunei.gif,브루나이,반다르세리 베가완,35만명,"5,770km",브르나이 달러,말레이어,"이슬람교, 불교"
아시아,l_flag_saudi.gif,사우디아라비아,리야드,"2,337만명","2,248,000km",사우디 리얄,아랍어,이슬람교
아시아,l_flag_sri_lanka.gif,스리랑카,스리자야와르데네프라코테,"1,887만명","65,610km",스리랑카 루피,신할리어,불교
아시아,l_flag_Syria.gif,시리아,다마스쿠스,"1,672만명","185,180km",시라아 파운드,아랍어,이슬람교
아시아,l_flag_singapore.gif,싱가포르,싱가포르,420만명,682km,싱가포르 달러,"말리이어, 영어, 중국어","불교, 이슬람교"
아시아,l_flag_united_arab_emirates.gif,아랍에미리트,아부다비,310만명,"83,600km",디르함,아랍어,이슬람교
아시아,l_flag_armenia.gif,아르메니아 공화국,예레반,300만명,"29,743km",드람(dram),아르메니아어,아르메니아정교
아시아,l_flag_Agerbaidjan.gif,아제르바이잔,바쿠,817만명,"86,600km",마나트,아제르바이잔어,이슬람교
아시아,l_flag_afghanistan.gif,아프가니스탄,카불,"2,775만명","647,500km",아프가니,파슈토어,이슬람교
아시아,l_flag_Yemen.gif,예멘,사나,"1,949만명","472,099km",예멘 리알,아랍어,이슬람교
아시아,l_flag_Oman.gif,오만,무스카트,252만명,"309,500km",오만 리알,아랍어,이슬람교
아시아,l_flag_jordan.gif,요르단,암만,526만명,"88,942km",요르단 디나르,아랍어,이슬람교
아시아,l_flag_uzbekistan.gif,우즈베키스탄,타슈켄트,"2,515만명","447,400km",숨,우즈베크어,이슬람교
아시아,l_flag_Iraq.gif,이라크,바그다드,"2,400만명","435,052km",이라크 디나르,아랍어,이슬람교
아시아,l_flag_Iran.gif,이란,테헤란,"6,545만명","1,633,841km",리얄,페르시아어,이슬람교
아시아,l_flag_israel.gif,이스라엘,예루살렘,639만명,"20,425km",세켈,히브리어,유대교
아시아,l_flag_india.gif,인도,뉴델리,"100,476만명","3,287,263km",루피,"힌두어, 영어",힌두교
아시아,l_flag_indonesia.gif,인도네시아,자카르타,"21,102만명","1,922,570km",루피아,인도네시아어,이슬람교
아시아,l_flag_japan.gif,일본,도쿄,"12,734만명","377,835km",엔,일본어,"불교, 신도교"
아시아,l_flag_North_Korea.gif,조선민주주의인민공화국,평양,"2,222만명","122,762km",원,한국어,불교
아시아,l_flag_china.gif,중국,베이징,"128,421만명","9,597,000km",위안,중국어,불교
아시아,l_flag_kazakhstan.gif,카자흐스탄,아스타나,"1,488만명","2,724,900km",텡게,"카자흐어, 러시아어",이슬람교
